date,sin,target
1700-01-01,100.82,101.34569054487226
1700-01-02,102.54,99.48993990148419
1700-01-03,104.26,100.72936719786279
1700-01-04,105.97,95.05539113171004
1700-01-05,107.69,104.52719477246902
1700-01-06,109.4,109.12263690124624
1700-01-07,111.12,107.21847938055329
1700-01-08,112.82,96.85256988485098
1700-01-09,114.53,110.17689515949967
1700-01-10,116.23,86.77390498484381
1700-01-11,117.92,111.88305547900693
1700-01-12,119.61,101.83334815107071
1700-01-13,121.3,116.29745325485776
1700-01-14,122.97,108.80853447762036
1700-01-15,124.64,121.38379167821753
1700-01-16,126.31,122.1969365241419
1700-01-17,127.96,118.71761474652905
1700-01-18,129.61,119.14354236611692
1700-01-19,131.25,121.1880594061958
1700-01-20,132.88,127.19878004732631
1700-01-21,134.5,119.51686084795168
1700-01-22,136.11,126.8844677355163
1700-01-23,137.71,135.3947793893186
1700-01-24,139.29,128.11307599523673
1700-01-25,140.87,115.60286646735524
1700-01-26,142.43,123.78524929353101
1700-01-27,143.99,136.9576747986899
1700-01-28,145.52,130.54381588377223
1700-01-29,147.05,145.81386286837403
1700-01-30,148.56,147.15563473780918
1700-01-31,150.06,140.98544594131045
1700-02-01,151.54,137.85108337244841
1700-02-02,153.01,145.9441834874927
1700-02-03,154.46,151.2705685313344
1700-02-04,155.89,155.07907934560544
1700-02-05,157.31,129.87215104016622
1700-02-06,158.71,143.06709101595544
1700-02-07,160.09,152.3639403524807
1700-02-08,161.46,143.81642924772802
1700-02-09,162.81,150.24031882120653
1700-02-10,164.14,141.29143891121313
1700-02-11,165.45,149.02679742235546
1700-02-12,166.74,163.47521784248286
1700-02-13,168.01,134.28025823416687
1700-02-14,169.26,142.8860631158638
1700-02-15,170.49,151.49018368600713
1700-02-16,171.7,170.98448525928495
1700-02-17,172.89,167.38083448065007
1700-02-18,174.06,173.16633657581323
1700-02-19,175.2,143.8597157268435
1700-02-20,176.32,160.68125048969728
1700-02-21,177.42,174.40942606627578
1700-02-22,178.5,144.93786562728545
1700-02-23,179.56,165.86937397622867
1700-02-24,180.59,178.48600830959094
1700-02-25,181.59,180.201722790876
1700-02-26,182.57,169.66122166371395
1700-02-27,183.53,176.395506744988
1700-02-28,184.47,161.57463866752323
1700-03-01,185.37,174.3196520930901
1700-03-02,186.26,165.280060922296
1700-03-03,187.12,150.07849510168813
1700-03-04,187.95,184.48855204866643
1700-03-05,188.75,171.9431927942952
1700-03-06,189.53,188.0809159487297
1700-03-07,190.28,160.58464544376753
1700-03-08,191.01,170.59364707257046
1700-03-09,191.71,187.58321245524039
